iter	Passed	Remaining
556	2027	1612
557	2030	1608
558	2032	1603
559	2036	1600
560	2038	1595
561	2039	1589
562	2042	1585
563	2044	1580
564	2045	1575
565	2050	1572
566	2052	1567
567	2054	1562
568	2057	1558
569	2059	1553
570	2061	1549
571	2066	1545
572	2068	1541
573	2079	1543
574	2082	1538
575	2084	1534
576	2087	1530
577	2089	1525
578	2092	1521
579	2094	1516
580	2096	1511
581	2102	1509
582	2104	1504
583	2105	1500
584	2107	1495
585	2110	1490
586	2116	1488
587	2118	1484
588	2120	1479
589	2123	1475
590	2125	1470
591	2131	1469
592	2133	1464
593	2136	1460
594	2138	1455
595	2142	1452
596	2146	1448
597	2147	1443
598	2149	1439
599	2152	1434
600	2159	1433
601	2161	1429
602	2164	1424
603	2166	1420
604	2168	1415
605	2175	1414
606	2179	1411
607	2182	1406
608	2184	1402
609	2188	1399
610	2190	1394
611	2192	1390
612	2195	1385
613	2197	1381
614	2202	1378
615	2205	1374
616	2206	1369
617	2208	1365
618	2211	1361
619	2216	1358
620	2218	1354
621	2220	1349
622	2222	1344
623	2224	1340
624	2230	1338
625	2232	1333
626	2235	1329
627	2237	1325
628	2239	1321
629	2245	1319
630	2247	1314
631	2249	1309
632	2252	1305
633	2255	1301
634	2262	1300
635	2268	1298
636	2270	1293
637	2276	1291
638	2278	1286
639	2280	1282
640	2282	1278
641	2284	1273
642	2290	1271
643	2293	1267
644	2295	1263
645	2297	1259
646	2300	1254
647	2306	1252
648	2309	1248
649	2311	1244
650	2313	1240
651	2315	1235
652	2321	1233
653	2323	1229
654	2326	1225
655	2328	1221
656	2331	1217
657	2334	1213
658	2336	1209
659	2338	1204
660	2339	1200
661	2342	1195
662	2348	1193
663	2350	1189
664	2352	1185
665	2355	1181
666	2361	1178
667	2367	1176
668	2369	1172
669	2370	1167
670	2377	1165
671	2380	1161
672	2382	1157
673	2385	1153
674	2389	1150
675	2392	1146
676	2394	1142
677	2397	1138
678	2400	1134
679	2403	1131
680	2406	1127
681	2408	1123
682	2411	1119
683	2413	1114
684	2414	1110
685	2419	1107
686	2422	1103
687	2425	1099
688	2427	1095
689	2430	1091
690	2435	1089
691	2437	1084
692	2439	1080
693	2441	1076
694	2444	1072
695	2452	1071
696	2456	1067
697	2457	1063
698	2460	1059
699	2466	1057
700	2468	1052
701	2470	1048
702	2473	1044
703	2475	1040
704	2481	1038
705	2484	1034
706	2486	1030
707	2489	1026
708	2506	1028
709	2512	1026
710	2514	1022
711	2517	1018
712	2520	1014
713	2522	1010
714	2526	1007
715	2529	1003
716	2532	999
717	2535	995
718	2541	993
719	2543	989
720	2545	984
721	2547	980
722	2550	977
723	2556	974
724	2558	970
725	2561	966
726	2564	962
727	2566	958
728	2573	956
729	2575	952
730	2577	948
731	2579	944
732	2585	941
733	2588	937
734	2590	934
735	2592	929
736	2594	925
737	2598	922
738	2601	918
739	2604	915
740	2606	910
741	2608	907
742	2612	903
743	2615	900
744	2618	896
745	2621	892
746	2623	888
747	2627	885
748	2629	881
749	2631	877
750	2634	873
751	2636	869
752	2641	866
753	2644	862
754	2646	858
755	2649	855
756	2651	851
757	2659	848
758	2660	844
759	2662	840
760	2665	837
761	2667	833
762	2668	829
763	2671	825
764	2673	821
765	2675	817
766	2677	813
767	2680	809
768	2682	805
769	2685	802
770	2687	798
771	2690	794
772	2696	791
773	2698	787
774	2700	783
775	2701	779
776	2704	776
777	2709	773
778	2711	769
779	2713	765
780	2715	761
781	2717	757
782	2725	755
783	2727	751
784	2729	747
785	2732	743
786	2736	740
787	2738	736
788	2740	732
789	2742	729
790	2744	725
791	2747	721
792	2751	718
793	2754	714
794	2756	710
795	2759	707
796	2765	704
797	2767	700
798	2769	696
799	2772	693
800	2774	689
801	2781	686
802	2784	683
803	2786	679
804	2788	675
805	2790	671
806	2796	668
807	2798	664
808	2800	661
809	2802	657
810	2804	653
811	2811	650
812	2813	647
813	2816	643
814	2818	639
815	2820	636
816	2825	632
817	2827	629
818	2831	625
819	2833	621
820	2835	618
821	2841	615
822	2843	611
823	2846	608
824	2848	604
825	2854	601
826	2857	597
827	2859	594
828	2861	590
829	2863	586
830	2870	583
831	2872	579
832	2875	576
833	2877	572
834	2880	569
835	2881	565
836	2884	561
837	2886	558
838	2889	554
839	2891	550
840	2897	547
841	2899	544
842	2901	540
843	2904	536
844	2912	534
845	2915	530
846	2918	527
847	2920	523
848	2926	520
849	2928	516
850	2930	513
851	2946	511
852	2949	508
853	2951	504
854	2955	501
855	2958	497
856	2960	493
857	2962	490
858	2963	486
859	2966	482
860	2970	479
861	2972	475
862	2975	472
863	2977	468
864	2980	465
865	2986	462
866	2988	458
867	2990	454
868	2992	451
869	2994	447
870	3001	444
871	3007	441
872	3009	437
873	3012	434
874	3017	431
875	3020	427
876	3022	423
877	3024	420
878	3026	416
879	3032	413
880	3034	409
881	3036	406
882	3038	402
883	3041	399
884	3048	396
885	3050	392
886	3052	388
887	3055	385
888	3057	381
889	3063	378
890	3065	375
891	3067	371
892	3070	367
893	3072	364
894	3078	361
895	3081	357
896	3083	354
897	3085	350
898	3091	347
899	3093	343
900	3095	340
901	3098	336
902	3100	333
903	3108	330
904	3112	326
905	3114	323
906	3117	319
907	3122	316
908	3124	312
909	3126	309
910	3128	305
911	3130	302
912	3136	298
913	3138	295
914	3141	291
915	3144	288
916	3152	285
917	3154	281
918	3157	278
919	3158	274
920	3161	271
921	3166	267
922	3168	264
923	3171	260
924	3173	257
925	3179	254
926	3182	250
927	3184	247
928	3186	243
929	3189	240
930	3195	236
931	3198	233
932	3200	229
933	3203	226
934	3205	222
935	3216	219
936	3219	216
937	3221	212
938	3227	209
939	3229	206
940	3231	202
941	3233	199
942	3236	195
943	3241	192
944	3243	188
945	3245	185
946	3247	181
947	3250	178
948	3255	174
949	3258	171
950	3260	168
951	3262	164
952	3264	161
953	3269	157
954	3271	154
955	3273	150
956	3275	147
957	3277	143
958	3284	140
959	3286	136
960	3288	133
961	3290	129
962	3293	126
963	3298	123
964	3300	119
965	3302	116
966	3305	112
967	3307	109
968	3308	105
969	3314	102
970	3317	99
971	3320	95
972	3323	92
973	3329	88
974	3331	85
975	3333	81
976	3335	78
977	3338	75
978	3343	71
979	3346	68
980	3348	64
981	3350	61
982	3353	57
983	3359	54
984	3361	51
985	3363	47
986	3366	44
987	3368	40
988	3375	37
989	3378	34
990	3391	30
991	3394	27
992	3396	23
993	3398	20
994	3404	17
995	3406	13
996	3408	10
997	3409	6
998	3411	3
999	3413	0
